ID,Label,Timestamp,xAcc010Hz,xAcc015Hz,xAcc020Hz,xAcc025Hz,xAcc030Hz,xAcc035Hz,xAcc040Hz,xAcc045Hz,xAcc050Hz,xAcc055Hz,xAcc060Hz,xAcc065Hz,xAcc070Hz,xAcc075Hz,xAcc080Hz,xAcc085Hz,xAcc090Hz,xAcc095Hz,xAcc100Hz,xAcc105Hz,xAcc110Hz,xAcc115Hz,xAcc120Hz,yAcc010Hz,yAcc015Hz,yAcc020Hz,yAcc025Hz,yAcc030Hz,yAcc035Hz,yAcc040Hz,yAcc045Hz,yAcc050Hz,yAcc055Hz,yAcc060Hz,yAcc065Hz,yAcc070Hz,yAcc075Hz,yAcc080Hz,yAcc085Hz,yAcc090Hz,yAcc095Hz,yAcc100Hz,yAcc105Hz,yAcc110Hz,yAcc115Hz,yAcc120Hz,zAcc010Hz,zAcc015Hz,zAcc020Hz,zAcc025Hz,zAcc030Hz,zAcc035Hz,zAcc040Hz,zAcc045Hz,zAcc050Hz,zAcc055Hz,zAcc060Hz,zAcc065Hz,zAcc070Hz,zAcc075Hz,zAcc080Hz,zAcc085Hz,zAcc090Hz,zAcc095Hz,zAcc100Hz,zAcc105Hz,zAcc110Hz,zAcc115Hz,zAcc120Hz,snd0025Hz,snd0050Hz,snd0075Hz,snd0100Hz,snd0125Hz,snd0150Hz,snd0175Hz,snd0200Hz,snd0225Hz,snd0250Hz,snd0275Hz,snd0300Hz,snd0325Hz,snd0350Hz,snd0375Hz,snd0400Hz,snd0425Hz,snd0450Hz,snd0475Hz,snd0500Hz,snd0525Hz,snd0550Hz,snd0575Hz,snd0600Hz,snd0625Hz,snd0650Hz,snd0675Hz,snd0700Hz,snd0725Hz,snd0750Hz,snd0775Hz,snd0800Hz,snd0825Hz,snd0850Hz,snd0875Hz,snd0900Hz,snd0925Hz,snd0950Hz,snd0975Hz,snd1000Hz,snd1025Hz,snd1050Hz,snd1075Hz,snd1100Hz,snd1125Hz,snd1150Hz,snd1175Hz,snd1200Hz,snd1225Hz,snd1250Hz,snd1275Hz,snd1300Hz,snd1325Hz,snd1350Hz,snd1375Hz,snd1400Hz,snd1425Hz,snd1450Hz,snd1475Hz,snd1500Hz,snd1525Hz,snd1550Hz,snd1575Hz,snd1600Hz,snd1625Hz,snd1650Hz,snd1675Hz,snd1700Hz,snd1725Hz,snd1750Hz,snd1775Hz,snd1800Hz,snd1825Hz,snd1850Hz,snd1875Hz,snd1900Hz,snd1925Hz,snd1950Hz,snd1975Hz,snd2000Hz,snd2025Hz,snd2050Hz,snd2075Hz,snd2100Hz,snd2125Hz,snd2150Hz,snd2175Hz,snd2200Hz,snd2225Hz,snd2250Hz,snd2275Hz,snd2300Hz,snd2325Hz,snd2350Hz,snd2375Hz,snd2400Hz,snd2425Hz,snd2450Hz,snd2475Hz,snd2500Hz
1,off,0,10.55970985,9.695637307,2.036689782,2.288567608,2.565606832,2.312750432,3.991019979,5.589096709,5.017795349,0.889914041,4.953429763,5.372975665,6.850217161,4.212824367,4.477750548,8.01645183,7.116653178,3.725669356,4.122813291,5.274690553,10.07153981,10.21660121,4.236799248,0.919963332,1.514544044,1.070537236,6.047678226,6.639224539,5.119552393,3.507026912,2.472546164,2.652989926,3.948328602,3.462755448,3.582333849,1.541977345,10.12905308,11.3950353,7.907387038,6.878629127,5.644953718,3.890514872,6.473522484,3.503449653,7.905990916,5.948715269,148.8898993,62.42200569,30.02184166,26.78939798,5.437482877,10.06494873,11.70104596,8.230233584,10.81915527,7.241879367,8.073769744,13.14337715,1.611034812,3.440837588,5.765335055,2.39364892,8.196741999,12.7988584,7.551702433,15.10928709,17.60401417,7.418234902,3.972995012,0.000680037,2.9818E-05,0.006647817,0.042886102,0.038202682,0.159990697,0.137299964,0.13542963,0.173475556,0.034363541,0.083249248,0.140584354,0.164804974,0.109777172,0.01055169,0.037765624,0.047165957,0.040497007,0.078414164,0.076518746,0.05969879,0.05531213,0.061505856,0.026429509,0.032050286,0.033038045,0.045281864,0.033074542,0.006295636,0.023311575,0.004561067,0.031674646,0.022207727,0.041776314,0.00635661,0.031416816,0.015196418,0.033486479,0.007182133,0.051232062,0.012418137,0.05465221,0.011407,0.036491143,0.058241368,0.044616811,0.017036344,0.028017523,0.049673991,0.040799955,0.011414278,0.034124256,0.010875046,0.016458867,0.023877062,0.022330679,0.011403023,0.006676078,0.021060029,0.036796688,0.020023238,0.03878153,0.004195008,0.027700179,0.004100035,0.013508046,0.021867553,0.018679793,0.024104382,0.020369593,0.006738361,0.017368421,0.008926496,0.011514739,0.031254166,0.007311906,0.012078748,0.016647119,0.007768038,0.021158039,0.019518487,0.009157116,0.022710331,0.012841707,0.014801968,0.022497795,0.015603473,0.022773672,0.01503309,0.009391454,0.004248854,0.099367628,0.012296458,0.008070751,0.005442179,0.026792248,0.01399332,0.031688201,0.007488975,0.013386245
1,off,0.04,2.420781023,7.81170275,2.076249784,2.885845654,2.186311983,1.296386135,2.937784832,4.581870368,3.691074895,2.076635895,3.541934175,4.888968806,6.95278494,5.355881576,3.294520506,5.824596745,6.195279142,2.740493501,7.694297067,9.326862409,1.275805359,7.216235494,2.106899298,7.687860466,4.849190746,4.803107339,6.558602676,2.620626968,6.945587446,5.323021247,2.589721415,2.705602005,4.422654764,0.942143935,3.575902297,5.343912792,8.853338571,11.38863246,8.857712347,7.565732172,4.84546252,7.253926392,6.589958519,3.736042583,3.363395859,6.274534817,155.8949093,55.4351365,27.35276897,23.18563216,11.65013827,12.42060404,6.486717915,3.530581694,11.83127098,5.159314852,7.979455064,4.435722539,6.176418807,3.903048517,4.286293697,2.967820131,6.028907777,8.212672322,11.35899898,7.060165083,12.22236789,2.912855846,4.733851896,0.000884182,0.00075936,0.009559,0.032917473,0.032057192,0.118009389,0.125125663,0.182912939,0.1762208,0.130226676,0.169798506,0.150309095,0.195631549,0.119285866,0.020898088,0.053723905,0.064250048,0.069594324,0.045139753,0.035010775,0.054340214,0.061735536,0.032827765,0.049063387,0.022472397,0.019802888,0.033561007,0.063737662,0.031235132,0.018461897,0.032858064,0.020564201,0.024338733,0.031799323,0.023901426,0.022064365,0.009052994,0.008846643,0.01186023,0.064084768,0.014458603,0.05081695,0.000377466,0.049091198,0.051254537,0.034647003,0.01699419,0.020382687,0.036801112,0.054303177,0.004283783,0.028998074,0.016318869,0.027442279,0.037227372,0.025314847,0.02124386,0.017017288,0.025728094,0.020879019,0.015973367,0.015171324,0.005907648,0.020833721,0.012583607,0.014937718,0.01620338,0.020350708,0.020324165,0.021567056,0.009305756,0.010226915,0.012900842,0.016294325,0.027174388,0.003863904,0.027061338,0.026616005,0.007953027,0.02013904,0.007068126,0.012375777,0.012439799,0.007914862,0.008983112,0.019002081,0.016766138,0.018462811,0.012949642,0.010653025,0.013465128,0.089160498,0.018882988,0.018947422,0.010409356,0.013679335,0.01779773,0.018389548,0.018145441,0.007316083
1,off,0.08,4.148815066,6.011956675,4.847633038,1.743514985,1.34244662,2.574446363,2.82961855,3.864007729,5.320989993,3.18003333,1.672021466,2.377113463,5.202548559,3.543117899,2.373736132,3.202489411,6.566979271,5.135631819,6.971689057,10.54389731,12.08290997,8.869496797,0.364211835,7.107715417,5.915649035,6.681259687,7.284216103,3.84287987,6.135670085,4.258758475,1.348226446,1.484864537,5.144317212,2.303606879,2.104421595,5.103337934,3.219268963,7.125702119,2.965215716,5.398925987,0.601154822,6.524725979,6.895149705,3.63310307,1.469689446,5.527835407,155.8182315,59.63572361,28.48754246,21.00068354,17.23651875,7.640492086,12.50160605,2.71200611,12.58126494,5.245592159,6.572078006,5.474216383,5.277485702,4.419746678,3.812895464,0.917510683,10.67004359,16.46560229,12.4166583,10.3291623,9.714738457,2.225982501,7.817528425,0.001101805,0.001615097,0.011716263,0.033351795,0.005733464,0.062889021,0.084736319,0.228714034,0.197346368,0.190736656,0.231453008,0.089182796,0.124438883,0.101344548,0.054532941,0.092927383,0.093667652,0.079488125,0.01109398,0.046388205,0.062436852,0.040661693,0.106562321,0.078046771,0.015295035,0.019706326,0.03947262,0.070005042,0.071011746,0.011148836,0.050916221,0.026657899,0.032107729,0.016159234,0.024041936,0.037994492,0.015725337,0.007790508,0.025132323,0.042560081,0.023880798,0.028521946,0.00462028,0.040567107,0.048999155,0.022170314,0.020663268,0.017511526,0.014126871,0.039714348,0.015142518,0.026419476,0.016664689,0.027598499,0.051681321,0.020654281,0.019787298,0.003671749,0.028271814,0.003721225,0.005932943,0.007719144,0.007664467,0.026868412,0.014108935,0.015691626,0.007546301,0.016765721,0.019782332,0.023103208,0.012556828,0.0058598,0.018929012,0.012623225,0.018853879,0.010576702,0.027082169,0.029696583,0.020412384,0.019059505,0.00832507,0.012207331,0.019782505,0.021213098,0.004060697,0.001662896,0.020993332,0.010403298,0.009059516,0.002405867,0.016139622,0.07569394,0.025834893,0.017858886,0.015872527,0.004619342,0.032513764,0.008647374,0.034637115,0.005606497
1,off,0.12,1.893998356,4.014838537,9.151205059,5.658957603,3.151961377,3.148571755,5.322784046,5.176760839,6.556502239,7.007153638,3.907644718,7.764447762,8.79811471,6.204488489,3.81455067,1.421778304,5.026796923,3.175704207,2.619688872,8.479759303,17.71611286,13.84502195,4.701992438,6.421668321,2.492007696,6.310191268,6.688607267,3.840784818,3.142244281,3.663852836,2.372572278,4.509582791,5.397248061,3.835187438,2.188810717,3.615495679,1.767464866,3.629623927,2.9635171,4.593797412,4.697051975,3.798794824,4.640300719,1.942615808,3.04922134,6.104678588,154.6821156,54.27036038,31.76326187,20.84261041,15.51130131,7.009063376,13.78421127,8.867244354,5.898153912,12.81195547,11.4646676,2.915408579,1.092784819,5.150681676,6.490103527,6.994033053,12.83832316,25.20013425,16.20681572,7.058515607,16.32840949,11.57403898,10.57171719,0.002000471,0.001676432,0.002764987,0.028024268,0.017469799,0.124936433,0.057018884,0.21215696,0.213643192,0.155423864,0.212901536,0.17093337,0.061681031,0.080614746,0.08224445,0.107864619,0.069222563,0.072042369,0.023207427,0.0536198,0.070097854,0.029168931,0.096023151,0.066253101,0.059854119,0.034805099,0.035519633,0.080066576,0.07618426,0.016265724,0.040998942,0.050959009,0.045859929,0.007622933,0.016608005,0.050297764,0.03212636,0.004002796,0.02302087,0.024315483,0.029055738,0.047213575,0.031216228,0.003713254,0.053576903,0.029346854,0.019051097,0.017780881,0.014183802,0.014822298,0.013441436,0.046250303,0.029284526,0.024251977,0.053074291,0.029486209,0.02994294,0.020593481,0.033784868,0.027337353,0.008690193,0.012939904,0.021842393,0.027012216,0.023724288,0.020470585,0.01087881,0.016090973,0.019841306,0.017410545,0.022389157,0.026576968,0.019816702,0.005447887,0.028273435,0.021663024,0.021140544,0.031508834,0.022414846,0.034205698,0.012216637,0.00779165,0.031400024,0.02972135,0.003889286,0.018824294,0.02368753,0.023065274,0.011170176,0.015273884,0.007496791,0.072590856,0.031014029,0.008861019,0.017934591,0.000610336,0.046791049,0.006036588,0.028448488,0.014417802
1,off,0.16,7.347694883,7.796385116,13.86588032,11.95379985,7.163614078,3.821748906,9.075362087,1.584118116,4.653576411,8.950814582,11.90783008,15.14485994,14.58816667,9.425551014,2.783795316,2.241704965,3.933946058,1.333047806,3.564353331,7.962724684,14.67419088,16.08580471,7.058385653,5.453332558,4.191011628,6.362023223,5.109864279,2.335172636,2.884846606,4.199955806,7.009102163,6.462518545,2.092173785,4.321808053,3.90361765,3.314279875,2.195525649,2.5040306,3.281843787,3.95968154,3.827797766,3.118417743,3.77516132,3.147357705,3.152519555,6.720508264,144.5261396,58.7578293,31.64731755,20.85699685,9.54785864,16.62473874,8.511098918,7.203703027,6.669398167,18.62476887,14.3786082,14.6749489,9.733013683,9.336559431,10.47585311,6.073944795,9.345822954,24.84457808,22.1595711,15.02333368,22.77961448,14.38714082,5.87815877,0.00058455,0.000729218,0.002867453,0.019417575,0.014157112,0.124153214,0.112051566,0.219647997,0.185708349,0.07887437,0.100058177,0.210670615,0.096110997,0.064119916,0.035773693,0.090657642,0.007932023,0.03153168,0.019578472,0.037805123,0.062728665,0.044207862,0.050375362,0.046104934,0.066408707,0.050549531,0.016228436,0.095869039,0.052843919,0.023139727,0.045131306,0.073126304,0.037106866,0.021376443,0.010477956,0.051915422,0.042243765,0.005750619,0.012406084,0.02936541,0.013214528,0.069003108,0.047824177,0.041388634,0.058606966,0.023721467,0.026362516,0.029015885,0.017169048,0.008982114,0.032286047,0.050345036,0.033938324,0.02944209,0.033944658,0.038809263,0.041171931,0.033619185,0.028927801,0.036346587,0.014589315,0.026193766,0.035902111,0.01822846,0.026470731,0.010593873,0.015397991,0.009878431,0.016074073,0.012910519,0.038776517,0.034019564,0.01033849,0.005796438,0.035981516,0.036525033,0.020082276,0.038275075,0.019179716,0.057557956,0.018329655,0.005501902,0.018621793,0.027500463,0.019319064,0.022238086,0.019639769,0.035511457,0.02498653,0.031082872,0.019349645,0.066571081,0.028685436,0.034593632,0.016540657,0.018062926,0.035644062,0.007217293,0.014886154,0.024236215
1,off,0.2,7.445164775,8.110124291,13.2414263,11.69736296,9.987322876,11.51881434,12.96523096,6.803693296,3.191876006,8.415457227,14.11969348,14.43705816,12.37864575,8.529554874,2.647731911,3.624059527,3.140283161,2.400812825,4.705258864,5.842735652,5.95911703,14.61989106,2.922769473,2.72588271,2.57046078,5.297476318,4.807381783,3.183138482,3.150649646,4.472863309,8.2359013,7.870187292,3.189820276,3.246663017,2.024607929,5.470930459,5.474209666,5.461375942,5.24804475,2.602211891,2.207804601,3.77596147,4.425935488,4.287048743,1.099142152,6.890319504,155.6727212,59.23487759,33.61027712,18.6497139,8.286294083,2.773550784,21.35306341,7.15068117,10.64093203,14.32892372,16.35506934,14.79709939,18.35614596,9.289820867,8.14214887,4.692376627,4.355109209,18.82161118,20.36567771,14.86440786,19.51768382,12.8514482,2.800871421,0.000687714,0.001312539,0.00572033,0.014306991,0.01644034,0.081499707,0.140210398,0.242430533,0.149067103,0.053678518,0.054244911,0.214610785,0.112517472,0.054502321,0.053756537,0.052176162,0.081169792,0.02364403,0.002078197,0.041753446,0.040043728,0.026811058,0.049115464,0.035275198,0.039445495,0.044646346,0.010074657,0.106068958,0.031696373,0.017898433,0.050183758,0.05873475,0.019342957,0.052378835,0.006089831,0.038777304,0.049420042,0.005038403,0.014834198,0.027242245,0.023167907,0.060168168,0.04531488,0.06134702,0.051004645,0.024338143,0.025383443,0.033646303,0.008204293,0.015399972,0.055122532,0.036677729,0.015037943,0.034248378,0.011236828,0.041968555,0.04020016,0.043173905,0.018322041,0.019338372,0.012288307,0.021885753,0.041389188,0.025033247,0.01476622,0.032991262,0.010874242,0.019033398,0.018522629,0.017632209,0.036858644,0.034981266,0.001828466,0.015918482,0.014670449,0.046135366,0.019112074,0.028933147,0.017082021,0.064152892,0.025160329,0.004106354,0.012457433,0.022903595,0.026770742,0.018069441,0.009093923,0.02381005,0.024489886,0.030945892,0.026684123,0.041308431,0.019196776,0.036998579,0.017665885,0.029418414,0.011582042,0.009661151,0.012881936,0.025998813
1,off,0.24,9.661825238,8.220173022,6.030848206,6.237095368,5.859396058,13.95660833,12.80726445,8.305907096,6.427413337,9.902425283,7.708538143,6.066802075,5.389031517,4.923098633,3.536494158,4.768963646,4.418859758,4.038964422,3.154354165,4.542912637,8.251095981,13.54713865,6.576808103,4.35672267,2.686557892,5.379293239,2.086374314,1.999393321,1.750771226,1.536568681,5.868195112,8.188892446,4.725396701,1.931994402,3.048158427,6.820578463,8.488793871,7.159464714,4.837258792,4.64825445,1.211493131,3.424086323,1.413289971,4.980695381,5.625533762,6.263415689,163.7754007,49.43776521,38.6402861,16.87533594,11.09954834,19.42786832,7.084977836,18.03504918,5.04452264,5.902769236,4.284567276,13.55416061,16.20146153,3.457142076,6.959187671,3.696432131,11.721669,9.690839314,10.24472117,3.584931624,13.66018847,8.730861338,4.886994354,0.002229257,0.000759174,0.006565864,0.01434286,0.015483825,0.095543969,0.151412443,0.209343611,0.124808309,0.08235975,0.148019331,0.177681791,0.108037151,0.062286431,0.069392865,0.04430685,0.131443816,0.029552764,0.040904047,0.034963907,0.019563707,0.029649579,0.05135447,0.064401699,0.016589978,0.050600085,0.014346933,0.100764167,0.056893667,0.046457557,0.033517424,0.029713498,0.033036609,0.064465972,0.016066791,0.034146272,0.052433514,0.014259234,0.010101986,0.04104309,0.042892447,0.015647033,0.050145626,0.069653231,0.03727919,0.031021031,0.031998363,0.027012148,0.008132692,0.014182289,0.048113852,0.021547639,0.014979663,0.037404874,0.012173336,0.027534842,0.043580152,0.041014967,0.021815486,0.017482301,0.005979289,0.016985866,0.029857336,0.010673125,0.019794573,0.02311695,0.011693542,0.009556517,0.0202368,0.013152483,0.010205274,0.030601385,0.005899214,0.006150398,0.015734335,0.041698242,0.011542524,0.011278273,0.011116708,0.047840173,0.020640289,0.016310356,0.022517312,0.015534758,0.022064689,0.021083205,0.002038972,0.007685249,0.020601895,0.016889278,0.017515762,0.020270372,0.005460986,0.020194657,0.019861422,0.022890032,0.008325088,0.006967235,0.009391584,0.019580401
1,off,0.28,10.62698232,6.287283793,2.930916272,5.780349518,5.964983475,9.211938167,6.427417522,4.341400257,5.089344243,7.986215137,3.432223346,0.652437632,4.489828241,5.349759698,2.486509129,5.862941932,5.785767938,5.47139286,7.677454408,7.545084873,8.178934966,11.7065423,8.253677931,2.0804104,4.651618697,5.586457148,2.663262612,2.715571959,1.990326611,1.060319824,3.44488748,5.577645033,3.530743232,0.828620147,4.521247397,4.399864526,6.676585981,5.527045502,1.199446908,5.73793375,4.110754142,4.372163048,2.934117782,5.512004767,5.970033602,4.808421726,149.5447456,64.98698934,30.37086162,15.83084163,19.70020687,2.279284407,10.92169873,16.25580389,5.987538717,8.266959024,5.854600052,6.872952905,10.4864376,9.276553865,5.432152088,9.249723223,9.185447059,4.248562206,6.396115727,3.115819597,11.78370344,7.196956511,2.672783052,0.001024624,0.001718162,0.006582136,0.006615857,0.038028253,0.059753355,0.156686886,0.133893713,0.092748611,0.096532475,0.155734771,0.121933679,0.09219003,0.038086109,0.028456647,0.088897144,0.118887506,0.087004854,0.068333712,0.022553682,0.004253814,0.02953871,0.035768221,0.101004119,0.011239019,0.009834002,0.040015511,0.090877864,0.026822558,0.047720155,0.012747498,0.042897781,0.03326029,0.043778049,0.03287304,0.042393897,0.044914982,0.009992179,0.02519234,0.066657072,0.041306329,0.03848869,0.059300214,0.053440211,0.018828186,0.026323246,0.030772469,0.02702306,0.022825131,0.007838158,0.018966468,0.018090108,0.013486368,0.029746112,0.002412665,0.014086086,0.042500241,0.027925054,0.024879509,0.018018747,0.012895453,0.036960329,0.017965951,0.009717681,0.009841935,0.004004237,0.015144529,0.013316224,0.015752446,0.02411952,0.019287079,0.010201585,0.013189772,0.016522149,0.021820269,0.025513105,0.009665372,0.011003293,0.007349781,0.030072445,0.008707396,0.034852918,0.005745331,0.001722393,0.017628856,0.023660461,0.012032896,0.012474829,0.01776524,0.003388815,0.002777204,0.03225466,0.022585129,0.008342272,0.014571496,0.01072787,0.016123166,0.000945109,0.011583649,0.013234751
1,off,0.32,6.488249879,1.425124374,6.265823842,8.309580029,4.946296218,4.664512485,3.349587747,3.768617483,5.254774067,2.545739905,5.482874963,4.014833598,7.05117915,7.194244653,4.947228441,8.022122219,6.314539026,5.618540818,12.61241871,11.27015368,2.695031017,10.05751186,2.625881969,1.791508624,4.377196667,4.268882817,3.767980162,5.552063894,4.137154132,1.014228277,1.606104519,2.750890512,1.432219371,2.799413101,5.170511892,1.147124045,3.350862883,3.277239465,4.840764284,4.423247754,4.803020882,4.558843229,2.748473381,4.887990604,3.067881229,3.697243259,157.4714054,55.85599668,31.17277523,14.34381384,16.05565653,13.22061885,4.186792707,12.3352294,10.7703631,9.582976224,0.871614327,3.312661308,7.300085218,9.16817376,4.036690733,3.601161282,5.691119803,8.816381195,12.60102367,11.75084149,14.06346349,6.784828592,0.548429036,6.68873E-05,0.002805802,0.007336937,0.031030122,0.033045598,0.055835966,0.134332865,0.119695136,0.10514319,0.097939816,0.10149182,0.123702191,0.102678707,0.019261745,0.050072689,0.116423253,0.06237668,0.08371353,0.056208285,0.028522274,0.006590852,0.021407578,0.0426227,0.099088869,0.035372593,0.046488868,0.057045249,0.054922861,0.036565212,0.033347628,0.018012119,0.059517671,0.024808294,0.027948525,0.029373124,0.057627725,0.044798626,0.014490477,0.014332313,0.08243179,0.028571243,0.049326726,0.055753023,0.038084266,0.019623577,0.033933664,0.011602599,0.022170114,0.03875185,0.016018339,0.006005564,0.020053098,0.00682632,0.015498947,0.016522637,0.012633011,0.037270409,0.017511009,0.022225118,0.008336901,0.01801589,0.038531501,0.006232497,0.005625504,0.02734026,0.012331126,0.011314383,0.015484312,0.018596489,0.029646878,0.019570245,0.008440908,0.013436085,0.021625027,0.015623849,0.010452935,0.021230354,0.008987977,0.010116583,0.023267629,0.003009483,0.036795731,0.018795437,0.010869794,0.025008291,0.025548636,0.022699558,0.022346155,0.009883951,0.003512964,0.007392133,0.043248115,0.023880227,0.015014389,0.003193025,0.018473797,0.030791024,0.004259681,0.013553137,0.015253302
1,off,0.36,3.000054611,2.258931406,6.675257786,7.534246586,5.013723168,4.880274821,7.192857341,4.933454331,6.778092409,6.588118887,8.532187134,6.522154713,8.108819341,6.484907302,2.626135283,7.110299716,8.247428581,8.420770486,11.58516392,9.730608002,11.62075362,11.05439043,6.098510608,3.162293306,2.044986028,4.971346267,3.192755567,8.099252157,5.959264746,3.495111284,2.619499886,2.320358709,1.130363822,3.257016571,5.565946508,4.412999075,3.319841181,3.819466608,4.500723647,4.289213717,5.113988836,5.991393608,3.582901454,0.725541516,5.976553957,5.820159816,151.9352311,57.0406808,35.65031578,15.00025997,15.92526243,9.860402409,9.485872539,8.305115201,10.5884266,5.609607512,5.020277902,2.103804821,5.360246114,9.140242685,6.57150684,2.887600035,2.626894664,10.76883455,18.77810812,16.98880437,10.13182777,6.29532114,3.38399193,0.000195718,0.002374752,0.008883193,0.038808684,0.032936386,0.071296722,0.137454714,0.181497363,0.082004996,0.131251227,0.129383702,0.127364938,0.108904936,0.055145929,0.033559738,0.098948697,0.061097498,0.067849713,0.047746929,0.024993219,0.032800442,0.027069282,0.074741979,0.067266969,0.036389677,0.049528243,0.052758211,0.036163379,0.048391376,0.034307976,0.026586192,0.075288092,0.034266778,0.028294151,0.024360489,0.066581053,0.047828479,0.009799463,0.013640607,0.071915842,0.011173769,0.049917651,0.041614571,0.047453046,0.040739348,0.055251892,0.009855227,0.031213554,0.043670025,0.0355695,0.015340352,0.023932926,0.00758882,0.003932788,0.021336291,0.009799306,0.033957939,0.018602686,0.021694485,0.008521203,0.002820089,0.031161086,0.022987712,0.016754392,0.02533353,0.013489916,0.010418484,0.014069884,0.017605297,0.023016903,0.014982617,0.006538161,0.009725309,0.015222502,0.016295783,0.009788766,0.025214194,0.00419196,0.012097865,0.022074715,0.004341752,0.026856502,0.027495516,0.012469125,0.026628772,0.024614989,0.021419159,0.024345015,0.006131395,0.005508707,0.005932693,0.04290469,0.026139609,0.012257839,0.009081404,0.0162856,0.029606897,0.013791601,0.009324629,0.021574568
